SELECT COUNT(*) FROM head WHERE age > 56	department_management
SELECT head.name, head.born_state, head.age FROM head JOIN management ON head.head_id = management.head_id ORDER BY head.age	department_management
SELECT creation, name, budget in billions FROM department	department_management
SELECT MAX(`budget in billions`), MIN(`budget in billions`) FROM department	department_management
SELECT AVG(`num employees`) FROM department WHERE ranking BETWEEN 10 AND 15	department_management
SELECT head.name  FROM head  WHERE head.born_state != 'California'	department_management
SELECT DISTINCT department.creation  FROM department  JOIN management ON department.department id = management.department id  JOIN head ON management.head id = head.head id  WHERE head.born state = 'Alabama'	department_management
SELECT born_state  FROM head  GROUP BY born_state  HAVING COUNT(*) >= 3	department_management
SELECT creation  FROM department  GROUP BY creation  ORDER BY COUNT(*) DESC  LIMIT 1	department_management
SELECT department.name, department.num employees FROM department JOIN management ON department.department id = management.department id JOIN head ON management.head id = head.head id WHERE management.temporary acting = 'Yes'	department_management
SELECT COUNT(DISTINCT temporary_acting) FROM management	department_management
SELECT COUNT(*) FROM department WHERE department.id NOT IN (SELECT management.department_id FROM management)	department_management
SELECT DISTINCT head.age  FROM head  JOIN management ON head.head id = management.head id  WHERE management.temporary acting = 'yes'	department_management
SELECT head.born_state  FROM head  JOIN management ON head.head_id = management.head_id  JOIN department ON management.department_id = department.department_id  WHERE department.name IN ('Treasury', 'Homeland Security')  GROUP BY head.born_state  HAVING COUNT(DISTINCT department.name) = 2	department_management
SELECT department.id, department.name, COUNT(management.head_id) as num_heads FROM department JOIN management ON department.id = management.department_id GROUP BY department.id, department.name HAVING COUNT(management.head_id) > 1	department_management
SELECT head.id, head.name FROM head WHERE head.name LIKE '%Ha%'	department_management
SELECT COUNT(*) FROM farm	farm
SELECT COUNT(*) FROM farm	farm
SELECT total_horses FROM farm ORDER BY total_horses ASC	farm
SELECT `farm id`, SUM(`total horses`) FROM farm GROUP BY `farm id` ORDER BY SUM(`total horses`) ASC	farm
"SELECT hosts FROM farm_competition WHERE theme != ""Aliens"""	farm
SELECT hosts FROM farm_competition WHERE theme != 'Aliens'	farm
SELECT theme, year FROM farm_competition ORDER BY year ASC	farm
SELECT theme  FROM farm_competition  ORDER BY year ASC	farm
SELECT AVG(working_horses)  FROM farm  WHERE total_horses > 5000	farm
SELECT AVG(working_horses)  FROM farm  WHERE total_horses > 5000	farm
SELECT MAX(cows), MIN(cows) FROM farm	farm
SELECT MAX(cows), MIN(cows) FROM farm	farm
SELECT COUNT(DISTINCT status) FROM city	farm
SELECT COUNT(DISTINCT status) FROM city	farm
SELECT official name FROM city ORDER BY population DESC	farm
SELECT official name FROM city ORDER BY population DESC	farm
SELECT official name, status FROM city ORDER BY population DESC LIMIT 1	farm
SELECT official name, status FROM city WHERE population = (SELECT MAX(population) FROM city)	farm
SELECT farm_competition.year, city.official_name  FROM farm_competition  JOIN city ON farm_competition.host_city_id = city.city_id	farm
SELECT farm_competition.year, city.official_name  FROM farm_competition  JOIN city ON farm_competition.host_city_id = city.city_id	farm
SELECT `official name` FROM city WHERE `city id` IN (     SELECT `host city id`     FROM `farm competition`     GROUP BY `host city id`     HAVING COUNT(`competition id`) > 1 )	farm
